career,required_subjects,mapped_interest_career,mapped_employment_career,question_id,interest_question,career_options,career_name,sector,estimated_employment_rate
software engineer,"Mathematics, Computer Science, Further Mathematics, Physics","['software engineer', 'data analyst', 'lawyer', 'engineer']",software engineer,1,Do you enjoy solving problems and thinking logically?,"['software engineer', 'data analyst', 'lawyer', 'engineer']",software engineer,Technology,89
data analyst,"Mathematics, Statistics, Computer Science","['software engineer', 'data analyst', 'lawyer', 'engineer']",data analyst,1,Do you enjoy solving problems and thinking logically?,"['software engineer', 'data analyst', 'lawyer', 'engineer']",data analyst,Technology,80
lawyer,"English Literature, History, Economics, French","['software engineer', 'data analyst', 'lawyer', 'engineer']",lawyer,1,Do you enjoy solving problems and thinking logically?,"['software engineer', 'data analyst', 'lawyer', 'engineer']",lawyer,Legal,40
engineer,"Mathematics, Physics, Chemistry, Technical Drawing","['software engineer', 'data analyst', 'lawyer', 'engineer']",software engineer,1,Do you enjoy solving problems and thinking logically?,"['software engineer', 'data analyst', 'lawyer', 'engineer']",software engineer,Technology,89
medical doctor,"Biology, Chemistry, Physics","['medical doctor', 'nurse', 'psychologist', 'counselor']",doctor,2,Do you like helping people with their health or emotions?,"['medical doctor', 'nurse', 'psychologist', 'counselor']",doctor,Healthcare,89
nurse,"Biology, Chemistry","['medical doctor', 'nurse', 'psychologist', 'counselor']",nurse,2,Do you like helping people with their health or emotions?,"['medical doctor', 'nurse', 'psychologist', 'counselor']",nurse,Healthcare,75
psychologist,"Biology, Psychology, Mathematics","['medical doctor', 'nurse', 'psychologist', 'counselor']",psychologist,2,Do you like helping people with their health or emotions?,"['medical doctor', 'nurse', 'psychologist', 'counselor']",psychologist,Social Services,73
counselor,"Psychology, English Literature, Biology","['medical doctor', 'nurse', 'psychologist', 'counselor']",sculptor,2,Do you like helping people with their health or emotions?,"['medical doctor', 'nurse', 'psychologist', 'counselor']",sculptor,Creative Arts,47
teacher,Any subject studied at A-level (match to that subject),"['teacher', 'lecturer', 'trainer', 'advisor']",teacher,3,"Do you enjoy teaching, mentoring, or guiding others?","['teacher', 'lecturer', 'trainer', 'advisor']",teacher,Education,77
lecturer,Any subject studied at A-level (match to that subject),"['teacher', 'lecturer', 'trainer', 'advisor']",lecturer,3,"Do you enjoy teaching, mentoring, or guiding others?","['teacher', 'lecturer', 'trainer', 'advisor']",lecturer,Education,80
trainer,"Business, Education, ICT","['teacher', 'lecturer', 'trainer', 'advisor']",painter,3,"Do you enjoy teaching, mentoring, or guiding others?","['teacher', 'lecturer', 'trainer', 'advisor']",painter,Creative Arts,49
advisor,"Economics, Sociology, Psychology, Education","['teacher', 'lecturer', 'trainer', 'advisor']",tailor,3,"Do you enjoy teaching, mentoring, or guiding others?","['teacher', 'lecturer', 'trainer', 'advisor']",tailor,Craftsmanship,58
entrepreneur,"Economics, Commerce, Mathematics, Business","['entrepreneur', 'business manager', 'startup founder', 'marketing manager']",interpreter,4,Would you like to start or manage a business?,"['entrepreneur', 'business manager', 'startup founder', 'marketing manager']",interpreter,Language Services,40
business manager,"Economics, Commerce, Accounting","['entrepreneur', 'business manager', 'startup founder', 'marketing manager']",logistics manager,4,Would you like to start or manage a business?,"['entrepreneur', 'business manager', 'startup founder', 'marketing manager']",logistics manager,Business,66
startup founder,"Business, Computer Science, Economics","['entrepreneur', 'business manager', 'startup founder', 'marketing manager']",bartender,4,Would you like to start or manage a business?,"['entrepreneur', 'business manager', 'startup founder', 'marketing manager']",bartender,Hospitality,46
marketing manager,"Economics, Business, English","['entrepreneur', 'business manager', 'startup founder', 'marketing manager']",marketing officer,4,Would you like to start or manage a business?,"['entrepreneur', 'business manager', 'startup founder', 'marketing manager']",marketing officer,Business,68
mechanical engineer,"Mathematics, Physics, Technical Drawing","['mechanical engineer', 'technician', 'electrician', 'automotive engineer']",mechanical technician,5,"Are you interested in working with machines, electronics, or fixing things?","['mechanical engineer', 'technician', 'electrician', 'automotive engineer']",mechanical technician,Engineering,91
technician,"Physics, Mathematics, Technical Drawing","['mechanical engineer', 'technician', 'electrician', 'automotive engineer']",lab technician,5,"Are you interested in working with machines, electronics, or fixing things?","['mechanical engineer', 'technician', 'electrician', 'automotive engineer']",lab technician,Science,48
